VDS_CD,TRFFCVLM,OCCPNCY,SPD_AVG,Start or End,point,geometry,length,count,black-spot
0010VDS24100,11261911,8.983,85.976,S,308.1,"LINESTRING (127.37792720206508 36.64088432774084, 127.37352511585452 36.65203468165532)",1298,0,0
0010VDS24200,7512307,11.38333333,74.16,S,308.9,"LINESTRING (127.37352584198784 36.652032769512346, 127.37100595073562 36.65894075177081)",799,1,0.133114901
0010VDS24300,10747288,6.676,93.622,S,310.7,"LINESTRING (127.3710085911853 36.65889878485133, 127.37462711264865 36.67451071159421)",1762,0,0
0010VDS24400,12295618,10.093,78.608,S,312.2,"LINESTRING (127.37460697442303 36.67458097923814, 127.36488767989191 36.68513008648924)",1458,1,0.081329788
0010VDS24500,12989293,6.68,94.554,S,313.7,"LINESTRING (127.36487991470422 36.6851376208659, 127.35429371604368 36.69434071807455)",1392,0,0
0010VDS24600,11914641,7.083,85.677,S,315.1,"LINESTRING (127.35431114598498 36.69432068491494, 127.34723835644226 36.70539213077582)",1382,0,0
0010VDS24700,3806600,8.147,83.891,S,316.5,"LINESTRING (127.34724995733124 36.705361658696, 127.34557507323049 36.7165688502768)",1253,0,0
0010VDS24800,13525991,15.352,76.604,S,317.9,"LINESTRING (127.34549970558295 36.716643495377376, 127.33067209100109 36.72067098974292)",1398,2,0.147863473
0010VDS24900,14239797,6.722,87.826,S,320,"LINESTRING (127.33067132335061 36.72067119571048, 127.30854530139413 36.7265338820744)",2081,0,0
0010VDS25000,14831870,7.428,93.554,S,321.1,"LINESTRING (127.30856078948199 36.7265287166015, 127.29758058090401 36.73099226117295)",1099,0,0
0010VDS25100,14042863,7.099,95.586,S,322.4,"LINESTRING (127.29756166049329 36.73099828460345, 127.28403354659146 36.734195538099435)",1259,1,0.07121055
0010VDS25200,13079017,7.895,86.984,S,324.1,"LINESTRING (127.28398094466162 36.734197580618535, 127.26531752405226 36.731320717287566)",1697,0,0
0010VDS25300,14205737,7.23,97.715,S,325.4,"LINESTRING (127.26539110580809 36.731311807190764, 127.25275949637377 36.7367072126564)",1277,0,0
